# Data generated with generateMultisineData.py script.
# TimeStep= 0.001 EndTime = 10.0 bias = 0.0 amplitude = 2.0
# frequencies = [0.2, 0.5, 0.9, 1.7, 2.8, 4.0]
# phases = [0.0, 1.1, 2.2, 0.7, 1.9, 2.8]
# time, data
8.679999999999999716e+00,-3.196818082892190493e-01
8.681000000000000938e+00,-3.172219303176277982e-01
8.682000000000000384e+00,-3.148913938492258202e-01
8.682999999999999829e+00,-3.126920303436082627e-01
8.684000000000001052e+00,-3.106255482409482349e-01
8.685000000000000497e+00,-3.086935315119447854e-01
8.685999999999999943e+00,-3.068974382969920645e-01
8.686999999999999389e+00,-3.052385996358282227e-01
8.688000000000000611e+00,-3.037182182883941817e-01
8.689000000000000057e+00,-3.023373676479660932e-01
8.689999999999999503e+00,-3.010969907472241247e-01
8.691000000000000725e+00,-2.999978993582233522e-01
8.692000000000000171e+00,-2.990407731867756880e-01
8.692999999999999616e+00,-2.982261591620032348e-01
8.694000000000000838e+00,-2.975544708216537049e-01
8.695000000000000284e+00,-2.970259877935785275e-01
8.695999999999999730e+00,-2.966408553739757759e-01
8.697000000000000952e+00,-2.963990842026801853e-01
8.698000000000000398e+00,-2.963005500358411592e-01
8.698999999999999844e+00,-2.963449936162645404e-01
8.700000000000001066e+00,-2.965320206416360849e-01
8.701000000000000512e+00,-2.968611018306546723e-01
8.701999999999999957e+00,-2.973315730872874152e-01
8.702999999999999403e+00,-2.979426357629693101e-01
8.704000000000000625e+00,-2.986933570168426866e-01
8.705000000000000071e+00,-2.995826702737660607e-01
8.705999999999999517e+00,-3.006093757799710442e-01
8.707000000000000739e+00,-3.017721412560773753e-01
8.708000000000000185e+00,-3.030695026471381670e-01
8.708999999999999631e+00,-3.044998649693086978e-01
8.710000000000000853e+00,-3.060615032526642909e-01
8.711000000000000298e+00,-3.077525635796812820e-01
8.711999999999999744e+00,-3.095710642187624595e-01
8.713000000000000966e+00,-3.115148968521412876e-01
8.714000000000000412e+00,-3.135818278974577544e-01
8.714999999999999858e+00,-3.157694999222657173e-01
8.715999999999999304e+00,-3.180754331505092347e-01
8.717000000000000526e+00,-3.204970270602242599e-01
8.717999999999999972e+00,-3.230315620713277713e-01
