# This is the header
# time,motor_current,linear_position,linear_speed,motor_angle,motor_speed,linear_encoder,motor_encoder,force_motor,force_gravity,force_friction,net_force,linear_acceleration,commanded_current
4.499999999999999833e-02,9.929266218992817139e-01,2.052222689496353435e-04,7.776463356485254462e-03,1.611811931213007698e+00,6.107620037911075173e+01,2.052222689496353435e-04,1.611811931213007698e+00,6.238741961825027147e+02,2.941995000000000005e+02,1.523014945522728425e+01,3.144445467272754513e+02,1.048148489090918178e-01,9.929266218992817139e-01
4.599999999999999922e-02,9.792545280253477369e-01,2.131006826302363026e-04,7.878413680600954844e-03,1.673688847565301119e+00,6.187691635229320752e+01,2.131006826302363026e-04,1.673688847565301119e+00,6.152837662477945742e+02,2.941995000000000005e+02,1.523329390069455691e+01,3.058509723471000257e+02,1.019503241157000140e-01,9.792545280253477369e-01
4.700000000000000011e-02,9.656667531206649668e-01,2.210781997985284298e-04,7.977517168292135377e-03,1.736344120889783627e+00,6.265527332448255748e+01,2.210781997985284298e-04,1.736344120889783627e+00,6.067463154839579147e+02,2.941995000000000005e+02,1.523635241041802857e+01,2.973104630735398928e+02,9.910348769117996448e-02,9.656667531206649668e-01
4.800000000000000100e-02,9.521699812247852446e-01,2.291519927061811757e-04,8.073792907652753079e-03,1.799755542103001593e+00,6.341142121321816205e+01,2.291519927061811757e-04,1.799755542103001593e+00,5.982660435969033870e+02,2.941995000000000005e+02,1.523932551504876365e+01,2.888272180818545962e+02,9.627573936061820103e-02,9.521699812247852446e-01
4.900000000000000189e-02,9.387707897831245596e-01,2.373192540703440235e-04,8.167261364162833881e-03,1.863901062857006075e+00,6.414552075400428066e+01,2.373192540703440235e-04,1.863901062857006075e+00,5.898470833174704921e+02,2.941995000000000005e+02,1.524221378722958242e+01,2.804053695302409324e+02,9.346845651008031663e-02,9.387707897831245596e-01
5.000000000000000278e-02,9.254756461284292524e-01,2.455771984279567612e-04,8.257944357612748143e-03,1.928758806176079643e+00,6.485774331907373380e+01,2.455771984279567612e-04,1.928758806176079643e+00,5.814934981906681060e+02,2.941995000000000005e+02,1.524501784092488421e+01,2.720489803497432035e+02,9.068299344991440081e-02,9.254756461284292524e-01
5.100000000000000366e-02,9.122909040399125313e-01,2.539230634662638483e-04,8.345865038307077183e-03,1.994307076906573384e+00,6.554827073049352748e+01,2.539230634662638483e-04,1.994307076906573384e+00,5.732092804137161011e+02,2.941995000000000005e+02,1.524773833072838158e+01,2.637620420829877048e+02,8.792068069432923405e-02,9.122909040399125313e-01
5.200000000000000455e-02,8.992228003820061932e-01,2.623541113288286046e-04,8.431047862564730253e-03,2.060524371974316704e+00,6.621729506774320839e+01,2.623541113288286046e-04,2.060524371974316704e+00,5.649983487241103148e+02,2.941995000000000005e+02,1.525037595114921274e+01,2.555484727729611052e+02,8.518282425765370813e-02,8.992228003820061932e-01
5.299999999999999850e-02,8.862774518246565592e-01,2.708676298963610301e-04,8.513518567532412859e-03,2.127389390444216932e+00,6.686501846990032050e+01,2.708676298963610301e-04,2.127389390444216932e+00,5.568645463389245833e+02,2.941995000000000005e+02,1.525293143587694189e+01,2.474121149030476374e+02,8.247070496768255099e-02,8.862774518246565592e-01
5.399999999999999939e-02,8.734608516470180328e-01,2.794609340416899512e-04,8.593304145328908156e-03,2.194881043376787133e+00,6.749165293257003384e+01,2.794609340416899512e-04,2.194881043376787133e+00,5.488116389465112661e+02,2.941995000000000005e+02,1.525540555702597167e+01,2.393567333894852993e+02,7.978557779649510240e-02,8.734608516470180328e-01
